Trial,Bandit,Reward,Algorithm
399,4,0.4,BayesianUCB
400,4,0,BayesianUCB
401,4,0.4,BayesianUCB
402,4,0,BayesianUCB
403,4,0,BayesianUCB
404,4,0,BayesianUCB
405,4,0.4,BayesianUCB
406,4,0.4,BayesianUCB
407,4,0.4,BayesianUCB
408,4,0,BayesianUCB
409,4,0.4,BayesianUCB
410,4,0,BayesianUCB
411,4,0,BayesianUCB
412,4,0,BayesianUCB
413,4,0.4,BayesianUCB
414,4,0.4,BayesianUCB
415,4,0,BayesianUCB
416,4,0,BayesianUCB
417,4,0,BayesianUCB
418,4,0.4,BayesianUCB
419,4,0.4,BayesianUCB
420,4,0.4,BayesianUCB
421,4,0,BayesianUCB
422,4,0.4,BayesianUCB
423,4,0,BayesianUCB
424,4,0.4,BayesianUCB
425,4,0,BayesianUCB
426,4,0,BayesianUCB
427,4,0.4,BayesianUCB
428,4,0,BayesianUCB
429,4,0.4,BayesianUCB
430,4,0.4,BayesianUCB
431,4,0.4,BayesianUCB
432,4,0,BayesianUCB
433,4,0.4,BayesianUCB
434,4,0.4,BayesianUCB
435,4,0,BayesianUCB
436,4,0,BayesianUCB
437,4,0,BayesianUCB
438,4,0,BayesianUCB
439,4,0.4,BayesianUCB
440,4,0.4,BayesianUCB
441,4,0.4,BayesianUCB
442,4,0,BayesianUCB
443,4,0.4,BayesianUCB
444,4,0,BayesianUCB
445,4,0,BayesianUCB
446,4,0,BayesianUCB
447,4,0.4,BayesianUCB
448,4,0,BayesianUCB
449,4,0.4,BayesianUCB
450,4,0,BayesianUCB
451,4,0.4,BayesianUCB
452,4,0.4,BayesianUCB
453,4,0.4,BayesianUCB
454,4,0,BayesianUCB
455,4,0,BayesianUCB
456,4,0,BayesianUCB
457,4,0.4,BayesianUCB
458,4,0.4,BayesianUCB
459,4,0.4,BayesianUCB
460,4,0,BayesianUCB
461,4,0,BayesianUCB
462,4,0.4,BayesianUCB
463,4,0,BayesianUCB
464,4,0.4,BayesianUCB
465,4,0,BayesianUCB
466,4,0.4,BayesianUCB
467,4,0,BayesianUCB
468,4,0,BayesianUCB
469,4,0,BayesianUCB
470,4,0,BayesianUCB
471,4,0,BayesianUCB
472,4,0,BayesianUCB
473,4,0,BayesianUCB
474,4,0,BayesianUCB
475,4,0.4,BayesianUCB
476,4,0.4,BayesianUCB
477,4,0,BayesianUCB
478,4,0.4,BayesianUCB
479,4,0.4,BayesianUCB
480,4,0,BayesianUCB
481,4,0,BayesianUCB
482,4,0,BayesianUCB
483,4,0,BayesianUCB
484,1,0,BayesianUCB
485,4,0,BayesianUCB
486,4,0.4,BayesianUCB
487,4,0,BayesianUCB
488,4,0.4,BayesianUCB
489,4,0.4,BayesianUCB
490,4,0.4,BayesianUCB
491,4,0.4,BayesianUCB
492,4,0,BayesianUCB
493,4,0,BayesianUCB
494,4,0.4,BayesianUCB
495,4,0.4,BayesianUCB
496,4,0.4,BayesianUCB
497,4,0,BayesianUCB
498,4,0,BayesianUCB
499,4,0.4,BayesianUCB
500,4,0,BayesianUCB
501,4,0,BayesianUCB
502,4,0,BayesianUCB
503,4,0,BayesianUCB
504,4,0.4,BayesianUCB
505,4,0.4,BayesianUCB
506,4,0,BayesianUCB
507,4,0,BayesianUCB
508,4,0,BayesianUCB
509,4,0,BayesianUCB
510,4,0,BayesianUCB
511,3,0,BayesianUCB
512,4,0,BayesianUCB
513,4,0,BayesianUCB
514,4,0,BayesianUCB
515,4,0,BayesianUCB
516,4,0.4,BayesianUCB
517,4,0,BayesianUCB
518,4,0.4,BayesianUCB
519,4,0,BayesianUCB
520,4,0.4,BayesianUCB
521,4,0.4,BayesianUCB
522,4,0.4,BayesianUCB
523,4,0,BayesianUCB
524,4,0.4,BayesianUCB
525,4,0.4,BayesianUCB
526,4,0,BayesianUCB
527,4,0,BayesianUCB
528,4,0.4,BayesianUCB
529,4,0.4,BayesianUCB
530,4,0.4,BayesianUCB
531,4,0.4,BayesianUCB
532,4,0.4,BayesianUCB
533,4,0,BayesianUCB
534,4,0,BayesianUCB
535,4,0.4,BayesianUCB
536,4,0.4,BayesianUCB
537,4,0.4,BayesianUCB
538,4,0,BayesianUCB
539,4,0,BayesianUCB
540,4,0,BayesianUCB
541,4,0,BayesianUCB
542,4,0,BayesianUCB
543,4,0,BayesianUCB
544,4,0,BayesianUCB
545,4,0.4,BayesianUCB
546,4,0,BayesianUCB
