Trial,Bandit,Reward,Algorithm
292,4,0,ThompsonSampling
293,4,0,ThompsonSampling
294,4,0,ThompsonSampling
295,3,0.3,ThompsonSampling
296,2,0,ThompsonSampling
297,4,0.4,ThompsonSampling
298,4,0.4,ThompsonSampling
299,4,0,ThompsonSampling
300,4,0.4,ThompsonSampling
301,4,0,ThompsonSampling
302,4,0,ThompsonSampling
303,4,0,ThompsonSampling
304,4,0,ThompsonSampling
305,4,0,ThompsonSampling
306,4,0.4,ThompsonSampling
307,4,0,ThompsonSampling
308,4,0,ThompsonSampling
309,4,0.4,ThompsonSampling
310,4,0.4,ThompsonSampling
311,4,0,ThompsonSampling
312,4,0,ThompsonSampling
313,2,0,ThompsonSampling
314,4,0.4,ThompsonSampling
315,4,0,ThompsonSampling
316,4,0,ThompsonSampling
317,3,0.3,ThompsonSampling
318,4,0.4,ThompsonSampling
319,3,0,ThompsonSampling
320,4,0.4,ThompsonSampling
321,3,0,ThompsonSampling
322,4,0,ThompsonSampling
323,4,0.4,ThompsonSampling
324,4,0.4,ThompsonSampling
325,4,0,ThompsonSampling
326,4,0.4,ThompsonSampling
327,4,0.4,ThompsonSampling
328,4,0.4,ThompsonSampling
329,4,0,ThompsonSampling
330,4,0.4,ThompsonSampling
331,4,0.4,ThompsonSampling
332,4,0.4,ThompsonSampling
333,4,0,ThompsonSampling
334,3,0,ThompsonSampling
335,4,0,ThompsonSampling
336,4,0.4,ThompsonSampling
337,4,0.4,ThompsonSampling
338,4,0,ThompsonSampling
339,4,0,ThompsonSampling
340,4,0,ThompsonSampling
341,3,0.3,ThompsonSampling
342,4,0,ThompsonSampling
343,4,0.4,ThompsonSampling
344,4,0.4,ThompsonSampling
345,4,0,ThompsonSampling
346,4,0.4,ThompsonSampling
347,4,0,ThompsonSampling
348,4,0,ThompsonSampling
349,4,0.4,ThompsonSampling
350,4,0.4,ThompsonSampling
351,4,0,ThompsonSampling
352,4,0.4,ThompsonSampling
353,4,0,ThompsonSampling
354,4,0,ThompsonSampling
355,4,0,ThompsonSampling
356,4,0,ThompsonSampling
357,4,0.4,ThompsonSampling
358,4,0,ThompsonSampling
359,4,0.4,ThompsonSampling
360,4,0,ThompsonSampling
361,4,0.4,ThompsonSampling
362,4,0,ThompsonSampling
363,4,0,ThompsonSampling
364,4,0,ThompsonSampling
365,4,0.4,ThompsonSampling
366,4,0,ThompsonSampling
367,4,0.4,ThompsonSampling
368,4,0.4,ThompsonSampling
369,4,0,ThompsonSampling
370,4,0.4,ThompsonSampling
371,4,0.4,ThompsonSampling
372,4,0,ThompsonSampling
373,4,0,ThompsonSampling
374,4,0,ThompsonSampling
375,4,0,ThompsonSampling
376,4,0.4,ThompsonSampling
377,4,0,ThompsonSampling
378,4,0,ThompsonSampling
379,4,0,ThompsonSampling
380,4,0,ThompsonSampling
381,4,0.4,ThompsonSampling
382,4,0,ThompsonSampling
383,4,0,ThompsonSampling
384,4,0.4,ThompsonSampling
385,4,0,ThompsonSampling
386,4,0,ThompsonSampling
387,4,0,ThompsonSampling
388,4,0.4,ThompsonSampling
389,4,0.4,ThompsonSampling
390,4,0,ThompsonSampling
391,4,0,ThompsonSampling
392,4,0,ThompsonSampling
393,4,0.4,ThompsonSampling
394,3,0,ThompsonSampling
395,4,0,ThompsonSampling
396,4,0,ThompsonSampling
397,4,0.4,ThompsonSampling
398,4,0,ThompsonSampling
399,4,0.4,ThompsonSampling
400,4,0,ThompsonSampling
401,4,0.4,ThompsonSampling
402,4,0,ThompsonSampling
403,4,0.4,ThompsonSampling
404,4,0.4,ThompsonSampling
405,4,0.4,ThompsonSampling
406,4,0,ThompsonSampling
407,4,0,ThompsonSampling
408,4,0,ThompsonSampling
409,4,0.4,ThompsonSampling
410,4,0.4,ThompsonSampling
411,4,0,ThompsonSampling
412,4,0,ThompsonSampling
413,4,0.4,ThompsonSampling
414,4,0.4,ThompsonSampling
415,4,0.4,ThompsonSampling
416,4,0,ThompsonSampling
417,4,0,ThompsonSampling
418,4,0.4,ThompsonSampling
419,4,0.4,ThompsonSampling
420,4,0.4,ThompsonSampling
421,4,0.4,ThompsonSampling
422,2,0,ThompsonSampling
423,4,0,ThompsonSampling
424,4,0.4,ThompsonSampling
425,4,0.4,ThompsonSampling
426,4,0.4,ThompsonSampling
427,4,0,ThompsonSampling
428,4,0.4,ThompsonSampling
429,4,0,ThompsonSampling
430,4,0.4,ThompsonSampling
431,4,0.4,ThompsonSampling
432,4,0,ThompsonSampling
433,4,0,ThompsonSampling
434,3,0,ThompsonSampling
435,4,0.4,ThompsonSampling
436,4,0,ThompsonSampling
437,3,0,ThompsonSampling
438,4,0,ThompsonSampling
439,4,0,ThompsonSampling
440,4,0.4,ThompsonSampling
441,4,0,ThompsonSampling
442,4,0.4,ThompsonSampling
443,4,0,ThompsonSampling
444,4,0,ThompsonSampling
445,4,0,ThompsonSampling
446,4,0,ThompsonSampling
447,4,0.4,ThompsonSampling
448,4,0.4,ThompsonSampling
